type,time,x,y,z
Missed,62.41769600000018,7.400503158569336,4.990535259246826,0.7549999952316284
Missed,68.3981550000002,7.400503158569336,4.990535259246826,0.7549999952316284
Missed,74.32922500000016,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,88.68961500000016,10.110976219177246,41.003173828125,0.7582286596298218
Missed,92.82683200000018,7.400508403778076,4.990542411804199,0.755000114440918
Completed,94.00773600000016,10.060050964355469,41.01628875732422,0.7537293434143066
Missed,104.97253200000019,7.400508403778076,4.990542411804199,0.755000114440918
Completed,107.0372570000002,10.087719917297363,41.000553131103516,0.7579265236854553
Completed,119.1406320000003,10.237296104431152,41.00096130371094,0.7639739513397217
Completed,125.16723500000026,10.195984840393066,41.014225006103516,0.7588706016540527
Missed,129.0695270000003,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,131.3041270000003,10.068758964538574,41.00157165527344,0.758146345615387
Missed,135.21545700000016,7.400503158569336,4.990535259246826,0.7549999952316284
Missed,147.12114400000027,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,148.7129700000004,10.050206184387207,41.01139831542969,0.7543615698814392
Completed,160.83413000000067,10.068231582641602,41.01873779296875,0.7552064657211304
Missed,165.27745100000075,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,167.07654400000075,10.16215991973877,41.01721954345703,0.7577215433120728
Completed,179.51586400000082,10.086481094360352,41.01596450805664,0.7560781240463257
Completed,185.46529500000082,10.057164192199707,41.001930236816406,0.7563255429267883
Completed,191.67843600000077,10.062854766845703,41.013607025146484,0.7558966279029846
Completed,196.52041400000073,9.990103721618652,41.00996017456055,0.7549964785575867
Missed,201.24179100000086,7.400508403778076,4.990542411804199,0.755000114440918
Completed,203.30514100000087,10.062981605529785,41.012855529785156,0.7550421953201294
Missed,212.7285850000008,7.400508403778076,4.990542411804199,0.755000114440918
Completed,214.8738840000009,10.204081535339355,41.00485610961914,0.7566614747047424
Completed,226.0746540000009,10.119708061218262,41.00324630737305,0.7560651302337646
Completed,231.17979000000105,10.059234619140625,41.003944396972656,0.755646824836731
Completed,237.71801100000104,10.041543006896973,41.01941680908203,0.7546539902687073
Missed,241.66129200000103,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,243.65096400000098,10.253575325012207,41.01171112060547,0.7596229910850525
Missed,247.74588100000105,7.400503158569336,4.990535259246826,0.7549999952316284
Missed,253.71931800000107,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,267.837763000001,10.101932525634766,41.00564193725586,0.7572298645973206
Completed,273.70066200000116,10.204939842224121,41.012569427490234,0.760732114315033
Completed,280.2335970000008,10.202812194824219,41.00835418701172,0.7628540396690369
Missed,284.7176810000009,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,286.4758650000009,10.120372772216797,41.007225036621094,0.7572961449623108
Completed,298.9414760000007,10.048117637634277,41.00882339477539,0.7547365427017212
Completed,304.21977100000066,10.182745933532715,41.01969528198242,0.757256031036377
Completed,311.2705170000009,10.092220306396484,41.006622314453125,0.7574204206466675
Completed,316.6239540000008,10.045125007629395,41.00620651245117,0.7567853331565857
Missed,321.3852250000007,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,322.3848040000006,10.087441444396973,41.01325988769531,0.7568233013153076
Completed,334.9734710000007,10.08283805847168,41.01289367675781,0.7563129663467407
Completed,340.48164500000075,10.05979061126709,41.01896286010742,0.7554379105567932
Completed,347.20722900000084,10.099099159240723,41.012210845947266,0.7546892762184143
Missed,351.1351070000006,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,352.9326010000006,10.210165977478027,41.0205078125,0.7553926110267639
Completed,363.8469750000009,10.062300682067871,41.01682662963867,0.7533321380615234
Completed,369.0551960000007,10.122038841247559,41.010581970214844,0.7550000548362732
Completed,376.67352500000067,10.087095260620117,41.020652770996094,0.7553197145462036
Missed,380.53896900000075,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,382.4331530000008,10.066179275512695,41.01972198486328,0.7514668703079224
Missed,392.2714460000006,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,394.24544600000064,10.031092643737793,41.00016784667969,0.7550000548362732
Completed,405.27490700000027,9.990812301635742,41.012908935546875,0.7549969553947449
Missed,410.2687520000003,7.400503158569336,4.990535259246826,0.7549999952316284
fall,410.4975950000003,12.445621490478516,22.1777400970459,0.5840190649032593
Completed,412.1801670000003,10.108570098876953,41.00345993041992,0.757677435874939
Completed,423.60824500000035,10.051851272583008,41.01609420776367,0.7536442875862122
Completed,430.1590640000007,10.044121742248535,41.01461410522461,0.7545518279075623
Completed,436.59354600000097,10.105252265930176,41.01124572753906,0.7577968239784241
Completed,448.8195630000008,10.084724426269531,41.01615524291992,0.7547610402107239
Completed,454.1461370000011,10.058491706848145,41.02008056640625,0.7515386343002319
Completed,460.68791000000124,10.315447807312012,41.01596450805664,0.7585608959197998
Missed,465.08855200000136,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,467.0858900000013,9.946181297302246,41.018253326416016,0.7549822330474854
Completed,477.9262530000016,10.059802055358887,41.00790786743164,0.7567012906074524
Completed,484.7938590000012,10.117743492126465,41.01074981689453,0.7593989372253418
Completed,489.94216600000135,10.00272274017334,41.00876235961914,0.7549901008605957
Completed,496.0873030000013,10.050429344177246,41.0125617980957,0.7542005181312561
Missed,500.84591100000125,7.400503158569336,4.990535259246826,0.7549999952316284
Completed,502.79144900000125,10.098562240600586,41.02001190185547,0.7548352479934692
Completed,513.9087350000013,10.044386863708496,41.00336837768555,0.7550102472305298
Completed,520.330574000001,10.102890014648438,41.00196075439453,0.7563475966453552
Completed,525.9469060000006,10.181466102600098,41.0054817199707,0.7618939280509949
Completed,531.7828970000002,10.119630813598633,41.00631332397461,0.7602773308753967
Completed,537.6390850000005,10.205328941345215,41.0022087097168,0.7589290142059326
Completed,543.8588860000008,10.0897855758667,41.017417907714844,0.7571248412132263
Completed,549.1291700000005,10.062917709350586,41.00422286987305,0.7555997967720032
Completed,555.0884340000002,9.948163986206055,41.0179557800293,0.7549625635147095
Completed,561.0676500000005,10.042524337768555,41.00102996826172,0.7565128803253174
